tau,TAMSD_with_walls
5.300000000000001,11.213160518260537
5.3500000000000005,11.347806026547339
5.4,11.481881661450487
5.45,11.615669026986074
5.5,11.749463114855496
5.550000000000001,11.882917540128165
5.6000000000000005,12.01597460514788
5.65,12.148806396457474
5.7,12.281468594723673
5.75,12.41374315469409
5.800000000000001,12.545365698922028
5.8500000000000005,12.67629037482862
5.9,12.80725618516254
5.95,12.938155881221148
6.0,13.068471231575707
6.050000000000001,13.198066164974183
6.1000000000000005,13.326637910150394
6.15,13.454666441980555
6.2,13.582033290784642
6.25,13.708489705789116
6.300000000000001,13.83493385162661
6.3500000000000005,13.961125416490873
6.4,14.086711384016477
6.45,14.211534686309015
6.5,14.335589145308665
6.550000000000001,14.459177103949742
6.6000000000000005,14.5817595028299
6.65,14.703690996923953
6.7,14.824716221449775
6.75,14.945292933675535
6.800000000000001,15.064593421022384
6.8500000000000005,15.183259792801273
6.9,15.301136873224793
6.95,15.418558903387929
7.0,15.535762297961078
7.050000000000001,15.652343084045341
7.1000000000000005,15.768628730041637
7.15,15.88407249972866
7.2,15.999378246483392
7.25,16.11407469340278
7.300000000000001,16.228411933337846
7.3500000000000005,16.342680557615566
7.4,16.457395471340185
7.45,16.57178740001488
7.5,16.685953167385275
7.550000000000001,16.799638875114454
7.6000000000000005,16.91306249968134
7.65,17.026966659176907
7.7,17.14063184029629
7.75,17.253840311420078
7.800000000000001,17.366686438955732
7.8500000000000005,17.4791932642159
7.9,17.591515836471185
7.95,17.703368954531797
8.0,17.814606380965675
8.05,17.92548930796168
8.1,18.036245817410368
8.15,18.14680119726839
8.200000000000001,18.256655975628078
8.25,18.365721324287534
8.3,18.474222484476254
8.35,18.582395441611457
8.4,18.69012781617299
8.450000000000001,18.79758269464126
8.5,18.904505904616542
8.55,19.01074599396791
8.6,19.116203667996828
8.65,19.221635777749892
8.700000000000001,19.326988314477358
8.75,19.432091795726286
8.8,19.536806624672057
8.85,19.640377897012584
8.9,19.742919598767674
8.950000000000001,19.844603855428176
9.0,19.945735940653787
9.05,20.046431305434776
9.1,20.145909659589734
9.15,20.244325178530993
9.200000000000001,20.34205628473875
9.25,20.43932219398583
9.3,20.535885259430053
9.35,20.63198876406398
9.4,20.72720383757048
9.450000000000001,20.821769092445713
9.5,20.915105148747713
9.55,21.00773986615823
9.600000000000001,21.09953606114799
9.65,21.19072049331839
9.700000000000001,21.280800414971285
9.75,21.369861923466598
9.8,21.458386357757632
9.850000000000001,21.546098702161444
9.9,21.63296479344166
9.950000000000001,21.718816295054207
10.0,21.803884835804546
10.05,21.888282647610836
10.100000000000001,21.97207005200811
10.15,22.05535959845453
10.200000000000001,22.13739794079535
10.25,22.217884093986278
10.3,22.297846961099648
10.350000000000001,22.376803243318907
10.4,22.454637494245326
10.450000000000001,22.53128874861506
10.5,22.607189046422082
10.55,22.682679627595867
10.600000000000001,22.75697672698929
10.65,22.830639474049768
10.700000000000001,22.903304045922685
10.75,22.97507179781546
10.8,23.045875596093833
10.850000000000001,23.115471218926128
10.9,23.184706402359808
10.950000000000001,23.25309794933269
11.0,23.320193379614736
11.05,23.386996782537572
11.100000000000001,23.45309293707342
11.15,23.518233099307917
11.200000000000001,23.582467754979078
11.25,23.646100950809153
11.3,23.708599030594456
11.350000000000001,23.770445369386895
11.4,23.831238343562212
11.450000000000001,23.890777701512175
11.5,23.94901597739944
11.55,24.006687940872894
11.600000000000001,24.063745720056847
11.65,24.11942434130457
11.700000000000001,24.174305585353505
11.75,24.22801326854924
11.8,24.281206258729934
11.850000000000001,24.333092501746
11.9,24.384427471929975
11.950000000000001,24.43503496152197
12.0,24.48496723970944
12.05,24.534295476504532
12.100000000000001,24.583502205056636
12.15,24.632598389220867
12.200000000000001,24.68076865467036
12.25,24.728572404681252
12.3,24.776104512688548
12.350000000000001,24.82313084372256
12.4,24.869735519456164
12.450000000000001,24.91569038507838
12.5,24.96075528172319
12.55,25.006147703465327
12.600000000000001,25.050792774176227
12.65,25.094572040957107
12.700000000000001,25.138371402708366
12.75,25.181837364308223
12.8,25.224220266130203
12.850000000000001,25.26637683558741
12.9,25.307566603785297
12.950000000000001,25.34833970837176
13.0,25.387973101763993
13.05,25.42707027478604
13.100000000000001,25.465998881469464
13.15,25.504566760944375
13.200000000000001,25.54280271166836
13.25,25.58112065175454
13.3,25.619583808638197
13.350000000000001,25.657466756962297
13.4,25.69441580723557
13.450000000000001,25.730546631816207
13.5,25.76630829075367
13.55,25.802315071855272
